#Time_ns State SLAHS_mindist_A LVTKL_mindist_A
0.00 D 3.2741 3.0478
0.01 D 3.1428 3.3941
0.02 D 3.2624 3.0464
0.03 D 3.0350 3.1895
0.04 D 3.3313 3.2119
0.05 D 3.2207 3.1158
0.06 D 3.1338 3.1509
0.07 D 3.1523 3.2436
0.08 D 3.5024 3.2375
0.09 D 2.9911 3.2572
0.10 D 2.9390 3.0987
0.11 D 3.1856 3.4177
0.12 D 3.2184 3.1963
0.13 D 3.0851 3.3312
0.14 D 3.0824 3.4335
0.15 D 3.3162 3.1388
0.16 D 3.1689 3.5332
0.17 D 3.3249 3.4528
0.18 D 3.1123 3.4957
0.19 D 3.5111 3.2770
0.20 D 3.3800 3.3775
0.21 D 3.4351 3.2172
0.22 D 3.2175 3.3530
0.23 D 3.0438 3.0723
0.24 D 3.2928 3.3279
0.25 D 3.2112 3.1751
0.26 D 3.0852 3.2893
0.27 D 2.9942 3.3299
0.28 D 3.0883 3.5872
0.29 D 3.1840 2.9827
0.30 D 3.8510 3.3266
0.31 D 2.9505 3.2435
0.32 D 3.2287 3.0386
0.33 D 3.0593 3.2730
0.34 D 3.3022 3.3708
0.35 D 3.0254 3.1111
0.36 D 3.0940 2.9007
0.37 D 3.1027 2.9831
0.38 D 3.0176 3.3632
0.39 D 2.9901 3.6203
0.40 D 3.1281 3.1179
0.41 D 3.0417 3.0799
0.42 D 3.2727 3.3238
0.43 D 3.2084 2.9972
0.44 D 3.0301 3.1714
0.45 D 3.1396 2.9754
0.46 D 3.1847 3.4778
0.47 D 3.0164 2.8685
0.48 D 3.3125 3.2516
0.49 D 3.3773 3.2138
0.50 D 3.3181 3.2182
0.51 D 3.3017 3.2687
0.52 D 3.3354 3.0917
0.53 D 3.2132 3.3843
0.54 D 3.1769 3.3023
0.55 D 3.6444 3.5901
0.56 D 3.4399 3.0903
0.57 D 3.3416 3.2092
0.58 D 3.2279 3.4292
0.59 D 3.5148 3.3186
0.60 D 3.1086 3.3638
0.61 D 3.4508 3.1509
0.62 D 2.9585 3.6158
0.63 D 2.9533 3.1412
0.64 D 3.1312 3.2811
0.65 D 3.2892 3.0596
0.66 D 3.0963 3.2694
0.67 D 3.5066 3.4782
0.68 D 3.2098 3.1833
0.69 D 3.3558 3.3135
0.70 D 3.1880 3.3578
0.71 D 3.0124 3.3472
0.72 D 3.1541 3.3078
0.73 D 3.2760 3.4078
0.74 D 2.8369 3.2220
0.75 D 2.7994 3.0044
0.76 D 3.0884 3.1761
0.77 D 3.3789 3.4349
0.78 D 3.1545 3.4939
0.79 D 3.3069 3.3117
0.80 D 3.6733 3.2165
0.81 D 3.1652 3.2282
0.82 D 3.5016 3.3721
0.83 D 3.1077 3.1460
0.84 D 3.0649 3.0202
0.85 D 3.0302 2.9017
0.86 D 3.3213 3.4906
0.87 D 3.2073 3.2908
0.88 D 3.4851 3.2346
0.89 D 3.0228 3.0707
0.90 D 3.3497 3.3382
0.91 D 3.1180 3.3641
0.92 D 3.1620 3.0962
0.93 D 3.0922 2.9766
0.94 D 3.1287 3.0654
0.95 D 3.0066 3.4816
0.96 D 3.5257 3.0353
0.97 D 3.5292 3.3393
0.98 D 3.1121 3.3621
0.99 D 2.9645 3.3020
1.00 D 2.9470 3.3374
1.01 D 2.8383 2.9334
1.02 D 3.1708 3.1581
1.03 D 3.0240 3.2997
1.04 D 3.2084 3.2378
1.05 D 3.2741 3.3567
1.06 D 3.0864 3.5769
1.07 D 3.2153 3.2250
1.08 D 2.9107 3.3179
1.09 D 3.1556 3.4819
1.10 D 3.2155 3.2600
1.11 D 3.2298 3.1313
1.12 D 3.2530 3.2778
1.13 D 3.3164 3.6332
1.14 D 3.2666 3.1000
1.15 D 3.2905 3.2870
1.16 D 3.5078 3.3622
1.17 D 3.1802 3.3578
1.18 D 2.8262 3.2472
1.19 D 3.2736 3.2391
1.20 D 3.4030 3.1895
1.21 D 3.4655 3.0588
1.22 D 3.2619 2.9060
1.23 D 3.2877 3.1302
1.24 D 3.1397 3.1809
1.25 D 3.1377 3.1965
1.26 D 2.9140 3.1580
1.27 D 3.0567 3.2485
1.28 D 3.3746 3.4620
1.29 D 3.2184 3.3504
1.30 D 3.1864 3.2115
1.31 D 2.8299 3.3068
1.32 D 2.7725 3.1751
1.33 D 2.9450 3.2018
1.34 D 3.1025 3.1178
1.35 D 3.2460 3.1905
1.36 D 3.0702 3.1686
1.37 D 2.9881 3.1778
1.38 D 3.0575 3.2580
