run_type,seed,model,vina_kcal_mol,slahs_min_A,lvtkl_min_A,slahs_contact_le4A,lvtkl_contact_le4A,dual_contact_le4A
historical_original,20260911,COMBO_001,-4.124,3.2239,2.9314,1,1,1
historical_original,20260911,COMBO_002,-4.722,3.2939,2.9015,1,1,1
historical_original,20260911,COMBO_003,-4.375,3.3458,2.8565,1,1,1
historical_original,20260911,COMBO_004,-4.292,2.968,3.5234,1,1,1
historical_original,20260911,COMBO_005,-4.697,2.9254,3.0859,1,1,1
historical_original,20260911,COMBO_006,-4.725,2.9855,3.2915,1,1,1
historical_original,20260911,COMBO_007,-4.22,2.7638,3.384,1,1,1
historical_original,20260911,COMBO_008,-4.824,3.0901,2.9585,1,1,1
historical_original,20260911,COMBO_009,-4.716,2.8763,3.3752,1,1,1
historical_original,20260911,COMBO_010,-4.954,3.0795,3.4954,1,1,1
historical_original,20260911,COMBO_011,-5.748,2.7934,2.6882,1,1,1
historical_original,20260911,COMBO_012,-4.99,3.0476,3.4047,1,1,1
historical_original,20260911,COMBO_013,-4.181,3.004,2.9455,1,1,1
historical_original,20260911,COMBO_014,-4.238,3.1321,3.0891,1,1,1
historical_original,20260911,COMBO_015,-4.487,3.0279,3.0164,1,1,1
historical_original,20260911,COMBO_016,-4.789,3.3786,2.9594,1,1,1
historical_original,20260911,COMBO_017,-4.985,3.0728,3.1182,1,1,1
historical_original,20260911,COMBO_018,-5.028,3.4928,2.7296,1,1,1
historical_original,20260911,COMBO_019,-5.164,3.175,3.0318,1,1,1
historical_original,20260911,COMBO_020,-4.407,2.8957,3.421,1,1,1
historical_original,20260911,COMBO_021,-4.988,3.3488,2.8224,1,1,1
historical_original,20260911,COMBO_022,-4.703,3.5488,3.098,1,1,1
historical_original,20260911,COMBO_023,-4.514,3.5694,3.0161,1,1,1
historical_original,20260911,COMBO_024,-4.228,3.0472,2.9452,1,1,1
historical_original,20260911,COMBO_025,-5.216,3.1597,3.0787,1,1,1
historical_original,20260911,COMBO_026,-5.008,3.023,3.3279,1,1,1
historical_original,20260911,COMBO_027,-4.618,2.9423,2.9542,1,1,1
historical_original,20260911,COMBO_028,-4.605,3.0677,2.8825,1,1,1
historical_original,20260911,COMBO_029,-4.428,3.1382,2.9508,1,1,1
historical_original,20260911,COMBO_030,-5.312,3.0873,3.2307,1,1,1
historical_original,20260911,COMBO_031,-5.332,2.8925,2.8148,1,1,1
historical_original,20260911,COMBO_032,-4.479,3.0088,2.8516,1,1,1
historical_original,20260911,COMBO_033,-4.48,3.2563,3.0195,1,1,1
historical_original,20260911,COMBO_034,-4.243,3.1131,2.8488,1,1,1
historical_original,20260911,COMBO_035,-5.21,2.9377,3.0901,1,1,1
historical_original,20260911,COMBO_036,-5.013,3.5768,2.8109,1,1,1
historical_original,20260911,COMBO_037,-4.457,2.8318,2.809,1,1,1
historical_original,20260911,COMBO_038,-4.589,3.0728,3.6378,1,1,1
historical_original,20260911,COMBO_039,-4.372,2.8941,3.5876,1,1,1
historical_original,20260911,COMBO_040,-4.233,2.8789,3.8012,1,1,1
historical_original,20260911,COMBO_041,-4.738,3.0438,2.7028,1,1,1
historical_original,20260911,COMBO_042,-4.981,3.1398,3.0091,1,1,1
historical_original,20260911,COMBO_043,-4.201,4.5093,2.9543,0,1,0
historical_original,20260911,COMBO_044,-5.303,2.9428,3.0221,1,1,1
historical_original,20260911,COMBO_045,-4.592,2.987,3.4832,1,1,1
historical_original,20260911,COMBO_046,-4.688,3.4788,2.9291,1,1,1
historical_original,20260911,COMBO_047,-4.827,2.934,2.9541,1,1,1
historical_original,20260911,COMBO_048,-4.752,3.0032,2.8513,1,1,1
sensitivity,20260921,COMBO_001,-4.383,3.4752,3.3245,1,1,1
sensitivity,20260921,COMBO_002,-5.225,2.8039,3.0325,1,1,1
sensitivity,20260921,COMBO_003,-4.362,3.0319,3.3764,1,1,1
sensitivity,20260921,COMBO_004,-4.204,2.9796,3.0614,1,1,1
sensitivity,20260921,COMBO_005,-5.383,3.0446,3.6484,1,1,1
