block_5ns,start_ns,end_ns,mean_mic_min_atom_atom_A,mean_mic_centroid_separation_A
1,0.0,4.99,4.9778126558740885,12.801386325271983
2,5.0,9.99,3.646226135601085,10.638470999511611
3,10.0,14.99,4.992529366944388,12.73858715948312
4,15.0,19.990000000000002,4.969341825589659,13.747503054740942
5,20.0,24.990000000000002,7.82285420440256,18.1603770984162
6,25.0,29.990000000000002,10.838362962161614,21.793167798443978
7,30.0,34.99,4.646417025665859,12.443603877186602
8,35.0,39.99,1.9272670307413224,6.545848142680233
9,40.0,44.99,1.9020633877994026,5.814150593794811
10,45.0,49.99,1.845828730088996,5.12867020122164
