frame,time_ns,mic_min_atom_atom_A,mic_centroid_separation_A,raw_min_atom_atom_A,raw_centroid_separation_A,box_a_A,box_b_A,box_c_A
0,0.0,4.673333535640428,11.046342922999319,4.673333594211116,11.046342922999317,38.789253,36.39739,41.098755
1,0.01,4.547414393533744,11.289712196321705,4.547414499432659,11.289712196321707,38.80608,36.413177,41.11659
2,0.02,5.188976198712094,11.411244496830308,5.188976053712352,11.411244496830308,38.78096,36.389606,41.08997
3,0.03,5.298889995501187,11.919567687565566,5.298890043266714,11.919567687565566,38.89534,36.496933,41.211163
4,0.04,5.284737778849458,12.33305131447207,5.284737775986513,12.333051314472073,38.857178,36.461124,41.170727
5,0.05,5.651152820479299,12.576573041479877,5.651152813296851,12.576573041479877,38.830067,36.435684,41.142
6,0.06,5.509066430496865,11.918863182157224,5.509066534809327,11.918863182157224,38.701534,36.31508,41.005817
7,0.07,5.47285773209635,12.3265838353294,5.472857684907962,12.3265838353294,38.85091,36.455242,41.164085
8,0.08,4.80173330721845,12.087430667321817,4.801733395316241,12.087430667321817,38.805805,36.412918,41.116295
9,0.09,5.333729970547645,12.095440366215781,5.333729857113583,12.095440366215783,38.792625,36.40055,41.10233
10,0.1,5.158381664240971,12.183423882856731,5.158381677069731,12.183423882856731,38.770977,36.380238,41.07939
11,0.11,5.787864389514638,12.161152618919026,5.787864407830956,12.161152618919026,38.889183,36.491154,41.204636
12,0.12,5.376157431669056,11.892738390669884,5.376157379677517,11.892738390669884,38.791676,36.399662,41.101326
13,0.13,4.2989709960664,11.53195388875614,4.298971089400674,11.53195388875614,38.782894,36.391422,41.09202
14,0.14,4.849404325294084,11.57877107154886,4.849404436245505,11.57877107154886,38.85344,36.457615,41.166767
15,0.15,4.723893022286339,11.746836627383841,4.723893081870905,11.74683662738384,38.711437,36.324368,41.016304
16,0.16,4.729561586104933,11.692132692102895,4.72956144138919,11.692132692102897,38.757206,36.367317,41.0648
17,0.17,5.429716242872815,11.550778947068787,5.429716296895365,11.550778947068787,38.81915,36.42544,41.130436
18,0.18,4.578106682579602,11.32952944317807,4.578106636346086,11.329529443178068,38.766285,36.375835,41.07442
19,0.19,3.893376982082203,11.330180108602786,3.8933769316245685,11.330180108602786,38.682346,36.297073,40.985485
20,0.2,4.060146412292565,11.013401984313404,4.060146378737745,11.013401984313406,38.75508,36.365322,41.06255
21,0.21,3.7415492690308603,11.967796320366258,3.7415491881920344,11.967796320366258,38.70207,36.31558,41.006382
22,0.22,4.036804326461415,11.51149186880715,4.036804307055311,11.51149186880715,38.86287,36.46646,41.176754
