model,cluster,cluster_size,is_medoid,is_COMBO_011_R28
COMBO_011_R01,1,39,0,0
COMBO_011_R02,3,26,0,0
COMBO_011_R03,3,26,0,0
COMBO_011_R04,3,26,0,0
COMBO_011_R05,4,25,0,0
COMBO_011_R06,3,26,0,0
COMBO_011_R07,1,39,0,0
COMBO_011_R08,3,26,0,0
COMBO_011_R09,4,25,0,0
COMBO_011_R10,1,39,0,0
COMBO_011_R11,4,25,0,0
COMBO_011_R12,4,25,0,0
COMBO_011_R13,2,28,0,0
COMBO_011_R14,3,26,0,0
COMBO_011_R15,4,25,0,0
COMBO_011_R16,4,25,0,0
COMBO_011_R17,1,39,0,0
COMBO_011_R18,1,39,0,0
COMBO_011_R19,1,39,0,0
COMBO_011_R20,4,25,0,0
COMBO_011_R21,2,28,0,0
COMBO_011_R22,1,39,0,0
COMBO_011_R23,1,39,0,0
COMBO_011_R24,1,39,0,0
COMBO_011_R25,1,39,0,0
COMBO_011_R26,4,25,0,0
COMBO_011_R27,1,39,0,0
COMBO_011_R28,1,39,0,1
COMBO_011_R29,1,39,0,0
COMBO_011_R30,1,39,0,0
COMBO_025_R01,1,39,0,0
COMBO_025_R02,1,39,0,0
COMBO_025_R03,8,1,1,0
COMBO_025_R04,1,39,0,0
COMBO_025_R05,7,2,1,0
COMBO_025_R06,3,26,0,0
COMBO_025_R07,3,26,0,0
COMBO_025_R08,1,39,0,0
COMBO_025_R09,1,39,1,0
COMBO_025_R10,1,39,0,0
COMBO_025_R11,1,39,0,0
COMBO_025_R12,1,39,0,0
COMBO_025_R13,1,39,0,0
COMBO_025_R14,1,39,0,0
COMBO_025_R15,1,39,0,0
COMBO_025_R16,1,39,0,0
COMBO_025_R17,1,39,0,0
COMBO_025_R18,1,39,0,0
COMBO_025_R19,1,39,0,0
COMBO_025_R20,1,39,0,0
COMBO_025_R21,1,39,0,0
COMBO_025_R22,1,39,0,0
COMBO_025_R23,1,39,0,0
COMBO_025_R24,1,39,0,0
COMBO_025_R25,1,39,0,0
COMBO_025_R26,1,39,0,0
COMBO_025_R27,1,39,0,0
COMBO_025_R28,1,39,0,0
COMBO_025_R29,7,2,0,0
COMBO_025_R30,1,39,0,0
COMBO_030_R01,2,28,0,0
COMBO_030_R02,2,28,0,0
COMBO_030_R03,6,6,0,0
COMBO_030_R04,2,28,0,0
COMBO_030_R05,2,28,0,0
COMBO_030_R06,6,6,0,0
COMBO_030_R07,2,28,0,0
COMBO_030_R08,2,28,0,0
COMBO_030_R09,4,25,0,0
COMBO_030_R10,4,25,0,0
COMBO_030_R11,2,28,0,0
COMBO_030_R12,2,28,0,0
COMBO_030_R13,2,28,0,0
COMBO_030_R14,2,28,0,0
COMBO_030_R15,2,28,0,0
COMBO_030_R16,2,28,0,0
COMBO_030_R17,2,28,0,0
COMBO_030_R18,2,28,0,0
COMBO_030_R19,6,6,0,0
COMBO_030_R20,4,25,0,0
COMBO_030_R21,2,28,0,0
COMBO_030_R22,2,28,0,0
COMBO_030_R23,2,28,0,0
COMBO_030_R24,4,25,0,0
COMBO_030_R25,2,28,0,0
COMBO_030_R26,2,28,0,0
COMBO_030_R27,2,28,0,0
COMBO_030_R28,2,28,0,0
COMBO_030_R29,2,28,0,0
COMBO_030_R30,2,28,1,0
COMBO_031_R01,5,23,0,0
COMBO_031_R02,6,6,0,0
COMBO_031_R03,6,6,0,0
COMBO_031_R04,5,23,0,0
COMBO_031_R05,5,23,0,0
COMBO_031_R06,5,23,0,0
COMBO_031_R07,5,23,0,0
COMBO_031_R08,5,23,0,0
COMBO_031_R09,5,23,0,0
COMBO_031_R10,2,28,0,0
COMBO_031_R11,2,28,0,0
COMBO_031_R12,5,23,0,0
COMBO_031_R13,4,25,0,0
COMBO_031_R14,5,23,0,0
COMBO_031_R15,5,23,0,0
COMBO_031_R16,5,23,0,0
COMBO_031_R17,5,23,0,0
COMBO_031_R18,5,23,0,0
COMBO_031_R19,5,23,1,0
COMBO_031_R20,5,23,0,0
COMBO_031_R21,5,23,0,0
COMBO_031_R22,5,23,0,0
COMBO_031_R23,5,23,0,0
COMBO_031_R24,5,23,0,0
COMBO_031_R25,5,23,0,0
COMBO_031_R26,5,23,0,0
COMBO_031_R27,6,6,1,0
COMBO_031_R28,5,23,0,0
COMBO_031_R29,5,23,0,0
COMBO_031_R30,2,28,0,0
COMBO_044_R01,4,25,0,0
COMBO_044_R02,4,25,0,0
COMBO_044_R03,4,25,0,0
COMBO_044_R04,3,26,0,0
COMBO_044_R05,4,25,1,0
COMBO_044_R06,3,26,0,0
COMBO_044_R07,4,25,0,0
COMBO_044_R08,3,26,0,0
COMBO_044_R09,3,26,0,0
COMBO_044_R10,4,25,0,0
COMBO_044_R11,4,25,0,0
COMBO_044_R12,3,26,1,0
COMBO_044_R13,3,26,0,0
COMBO_044_R14,3,26,0,0
COMBO_044_R15,3,26,0,0
COMBO_044_R16,3,26,0,0
COMBO_044_R17,3,26,0,0
COMBO_044_R18,4,25,0,0
COMBO_044_R19,3,26,0,0
COMBO_044_R20,4,25,0,0
COMBO_044_R21,3,26,0,0
COMBO_044_R22,3,26,0,0
COMBO_044_R23,3,26,0,0
COMBO_044_R24,3,26,0,0
COMBO_044_R25,4,25,0,0
COMBO_044_R26,4,25,0,0
COMBO_044_R27,4,25,0,0
COMBO_044_R28,3,26,0,0
COMBO_044_R29,3,26,0,0
COMBO_044_R30,3,26,0,0
