model,COMBO_011_R01,COMBO_011_R02,COMBO_011_R03,COMBO_011_R04,COMBO_011_R05,COMBO_011_R06,COMBO_011_R07,COMBO_011_R08,COMBO_011_R09,COMBO_011_R10,COMBO_011_R11,COMBO_011_R12,COMBO_011_R13,COMBO_011_R14,COMBO_011_R15,COMBO_011_R16,COMBO_011_R17,COMBO_011_R18,COMBO_011_R19,COMBO_011_R20,COMBO_011_R21,COMBO_011_R22,COMBO_011_R23,COMBO_011_R24,COMBO_011_R25,COMBO_011_R26,COMBO_011_R27,COMBO_011_R28,COMBO_011_R29,COMBO_011_R30,COMBO_025_R01,COMBO_025_R02,COMBO_025_R03,COMBO_025_R04,COMBO_025_R05,COMBO_025_R06,COMBO_025_R07,COMBO_025_R08,COMBO_025_R09,COMBO_025_R10,COMBO_025_R11,COMBO_025_R12,COMBO_025_R13,COMBO_025_R14,COMBO_025_R15,COMBO_025_R16,COMBO_025_R17,COMBO_025_R18,COMBO_025_R19,COMBO_025_R20,COMBO_025_R21,COMBO_025_R22,COMBO_025_R23,COMBO_025_R24,COMBO_025_R25,COMBO_025_R26,COMBO_025_R27,COMBO_025_R28,COMBO_025_R29,COMBO_025_R30,COMBO_030_R01,COMBO_030_R02,COMBO_030_R03,COMBO_030_R04,COMBO_030_R05,COMBO_030_R06,COMBO_030_R07,COMBO_030_R08,COMBO_030_R09,COMBO_030_R10,COMBO_030_R11,COMBO_030_R12,COMBO_030_R13,COMBO_030_R14,COMBO_030_R15,COMBO_030_R16,COMBO_030_R17,COMBO_030_R18,COMBO_030_R19,COMBO_030_R20,COMBO_030_R21,COMBO_030_R22,COMBO_030_R23,COMBO_030_R24,COMBO_030_R25,COMBO_030_R26,COMBO_030_R27,COMBO_030_R28,COMBO_030_R29,COMBO_030_R30,COMBO_031_R01,COMBO_031_R02,COMBO_031_R03,COMBO_031_R04,COMBO_031_R05,COMBO_031_R06,COMBO_031_R07,COMBO_031_R08,COMBO_031_R09,COMBO_031_R10,COMBO_031_R11,COMBO_031_R12,COMBO_031_R13,COMBO_031_R14,COMBO_031_R15,COMBO_031_R16,COMBO_031_R17,COMBO_031_R18,COMBO_031_R19,COMBO_031_R20,COMBO_031_R21,COMBO_031_R22,COMBO_031_R23,COMBO_031_R24,COMBO_031_R25,COMBO_031_R26,COMBO_031_R27,COMBO_031_R28,COMBO_031_R29,COMBO_031_R30,COMBO_044_R01,COMBO_044_R02,COMBO_044_R03,COMBO_044_R04,COMBO_044_R05,COMBO_044_R06,COMBO_044_R07,COMBO_044_R08,COMBO_044_R09,COMBO_044_R10,COMBO_044_R11,COMBO_044_R12,COMBO_044_R13,COMBO_044_R14,COMBO_044_R15,COMBO_044_R16,COMBO_044_R17,COMBO_044_R18,COMBO_044_R19,COMBO_044_R20,COMBO_044_R21,COMBO_044_R22,COMBO_044_R23,COMBO_044_R24,COMBO_044_R25,COMBO_044_R26,COMBO_044_R27,COMBO_044_R28,COMBO_044_R29,COMBO_044_R30
COMBO_011_R01,0.000000,4.422752,5.338140,6.704810,8.187031,4.961387,2.950416,5.112413,8.091361,1.611295,7.715899,8.011726,8.650643,7.036058,7.834217,8.210902,0.943073,2.596360,1.489967,8.106634,8.601890,0.790219,0.697926,2.520705,2.916765,8.248624,1.266075,1.072748,1.279896,2.594564,3.456382,3.391226,8.566004,4.003393,8.210737,8.846258,7.835642,3.007532,3.279529,5.020771,4.414672,3.283046,3.468747,2.936707,3.488470,4.765297,4.749373,2.965860,4.113319,3.120997,3.060748,4.970563,3.516840,3.916228,3.560769,3.634872,3.946248,3.537169,8.016814,5.471735,10.460758,10.378465,7.962470,10.402131,10.401401,8.460717,9.520404,10.227012,7.997490,8.213641,10.422945,10.259112,9.980364,10.145143,9.902101,10.615977,9.689028,9.817045,7.328419,8.448033,9.743733,10.370895,10.219875,8.512497,10.570041,9.885770,9.428043,10.533036,9.501581,10.390297,7.795019,6.806735,6.536121,8.056616,8.670547,8.233262,8.754322,8.475706,8.209189,9.428741,8.579534,8.018528,7.969101,8.432590,8.882728,11.294274,7.784632,7.996138,8.500311,8.355890,8.349089,8.904230,7.945856,8.326898,8.228821,8.151033,6.905543,8.584685,8.931268,9.885554,7.000775,6.378417,7.913952,6.627873,6.814867,7.815995,5.868087,8.262389,6.677149,6.538912,5.494521,6.770835,7.749260,6.671846,8.763835,6.728443,8.710812,5.788359,6.273498,6.059433,6.791787,7.838508,8.715794,6.902925,6.770429,5.328920,7.817576,6.905268,8.592191,6.869990
COMBO_011_R02,4.422752,0.000000,2.686733,4.627283,8.603541,2.496117,6.022364,2.656157,8.504457,4.478067,8.366125,8.464685,8.441057,4.922426,8.409586,8.604786,4.655450,5.788238,4.006948,8.524501,7.972208,4.209528,3.926401,5.848536,4.653497,8.401543,5.013871,4.166382,4.944547,5.789824,5.626717,5.281590,8.570167,6.152863,8.759548,8.535111,6.915744,5.302886,5.373554,6.375982,6.363776,5.681059,5.870522,5.237469,6.201302,6.444615,6.459504,4.860811,5.900570,5.003761,5.345474,7.047624,5.308984,6.277561,5.695145,5.748399,7.101736,6.474330,8.488596,6.804388,8.885894,8.743196,8.243843,8.763919,8.710229,8.779380,7.470416,8.744627,8.414628,8.500024,8.858898,8.717179,8.541311,8.691619,8.259718,9.094970,8.219838,8.276257,6.775237,8.650637,8.150970,8.579759,8.644736,8.629303,9.030031,8.262918,7.524022,8.976786,7.863135,8.742200,8.505321,8.429284,8.370523,8.770029,8.677891,8.207341,8.816763,8.459634,8.342517,7.090782,7.615536,8.968459,8.336111,8.383224,8.842388,11.271659,8.546096,8.085264,8.518433,8.209835,8.573434,9.120904,8.368965,8.823747,8.253653,8.227895,8.396873,8.502297,7.682663,7.508987,7.841236,7.829575,8.157976,4.539375,8.055559,6.326435,7.540048,7.524155,4.562880,7.841680,7.408163,4.674848,5.913228,4.607079,6.972632,4.784656,6.897833,7.724533,5.458761,7.592751,4.723564,6.389795,6.856483,4.820248,7.890161,7.367177,8.121603,4.944755,6.916955,4.616999
COMBO_011_R03,5.338140,2.686733,0.000000,4.414498,8.573468,2.089451,6.917649,1.177843,8.484649,5.562817,8.318387,8.450699,8.625287,4.712757,8.369800,8.635331,5.738825,6.651508,4.899201,8.540539,8.294612,4.997475,4.960823,6.958798,5.547316,8.198549,5.977363,5.007660,5.905263,6.656361,6.695703,6.033919,7.949328,7.108109,7.642958,7.939606,6.366350,6.089686,6.472340,6.950327,7.445556,6.673625,6.712296,5.978403,7.092005,7.486716,7.550492,5.584923,6.688051,5.798811,6.187908,7.922688,6.488602,7.015306,6.859772,6.642538,7.403688,7.021854,7.272415,7.255193,8.848995,8.670272,8.735902,8.716708,8.645257,9.301092,7.322197,8.590142,8.020733,8.079928,8.775452,8.665962,8.723740,8.923141,8.403054,9.034857,8.322422,8.374877,7.268801,8.234208,8.245534,8.680186,8.585181,8.245809,8.991010,8.078582,7.366882,8.967073,7.929631,8.731937,9.640052,8.962718,9.123289,9.878837,9.697733,8.975888,9.484928,9.377120,9.352362,7.289816,8.309158,10.076043,8.533967,9.235346,9.427357,11.437745,9.680709,8.859488,9.205645,9.152857,9.361007,10.090052,9.223133,9.688398,8.978824,9.249922,8.973349,9.209284,8.496106,7.331643,7.711636,7.888444,7.955077,5.026615,8.056840,6.243903,7.652744,7.354240,4.509033,8.141811,7.368514,4.955781,5.823472,4.586636,6.731169,4.757721,6.718873,7.639087,5.977553,7.620431,5.111195,6.312341,6.750679,5.066036,8.128366,7.351986,7.911038,5.079091,6.752718,4.692833
COMBO_011_R04,6.704810,4.627283,4.414498,0.000000,8.313389,3.903506,8.016897,4.052293,8.293483,6.651201,8.376140,8.413336,9.679076,0.677701,8.249978,8.569224,6.878543,7.567592,6.568405,8.343063,9.366623,6.675999,6.385714,7.709385,6.820563,8.652155,7.166134,6.482764,7.014949,7.525511,7.382590,6.193813,10.103166,7.334776,8.301931,8.394765,8.255517,7.132875,7.268809,7.816976,7.801384,7.429269,7.646667,7.123204,7.607678,7.725242,7.692944,7.054956,7.167458,7.022431,7.357546,8.049576,7.241224,7.391253,7.335497,7.706733,8.321896,7.696062,8.210005,8.432961,9.245852,9.197510,7.747769,8.876448,9.195536,8.504990,8.308339,9.054498,7.665345,7.744420,9.149890,9.099712,9.137043,9.265133,8.983589,9.255635,8.743071,8.524410,6.176228,7.861161,8.466772,9.436255,9.110250,7.885952,9.307244,8.723580,8.405301,9.259195,8.302669,9.202179,8.305262,9.382348,9.213085,8.572954,8.293833,7.216688,7.772282,7.378151,7.600484,8.762166,8.755117,8.847227,8.663906,7.462087,7.578798,9.436482,8.343946,7.138292,7.498387,7.205954,7.921907,8.542398,7.826314,8.546467,7.239580,7.461248,9.362800,7.520341,6.335362,8.616430,8.935132,8.205051,9.152683,5.975389,8.190042,7.916006,8.017418,9.473038,4.232300,9.330801,7.628361,5.731300,7.026683,4.579061,5.375726,6.117690,5.312831,8.084533,6.409805,7.957114,6.026639,7.962189,5.329975,5.754184,9.316735,7.678899,9.119734,6.296897,5.377482,6.108222
COMBO_011_R05,8.187031,8.603541,8.573468,8.313389,0.000000,8.429935,6.920812,8.548505,0.440155,8.156268,1.435073,1.219757,4.864871,8.417598,0.828032,0.702948,7.978271,6.942734,8.581093,1.011347,5.381594,8.562351,8.280865,7.157006,7.330030,4.145028,7.655672,8.253829,8.165650,6.883876,9.632705,8.090747,8.454469,8.788213,9.418753,9.332326,7.859950,9.534592,9.589053,10.148656,9.965914,9.605151,9.903607,9.566302,9.446081,9.577337,9.412465,9.635995,9.178522,9.602203,9.651926,9.650457,9.658192,8.822726,9.442447,9.996537,9.746025,9.327549,9.817085,10.713920,6.633102,7.060286,6.273379,6.230681,6.963070,6.465733,7.971353,6.443011,4.756455,4.647236,6.453874,6.427341,7.668940,7.935541,7.840701,6.425190,7.003990,7.746280,7.452553,4.349888,7.741940,7.694615,6.552781,4.232283,6.583060,6.751767,7.398056,6.370164,7.558813,6.931896,7.941212,5.940734,6.638668,8.053135,7.649833,7.448361,7.922907,7.994606,8.078372,8.425773,9.290221,8.135566,2.653351,7.999888,8.105435,9.231242,7.949196,7.678658,7.745067,7.925510,7.873888,8.451406,7.698844,8.105173,7.640267,7.836515,6.110050,7.613548,7.715859,8.124306,5.181265,4.378309,4.860462,8.637355,4.133649,7.474403,4.681500,9.587575,7.924298,4.839498,5.913396,8.562337,8.802514,7.996045,7.272527,8.790686,7.340581,6.072361,8.741304,4.713606,8.565643,7.409627,7.490580,8.480733,4.752979,6.110579,5.027683,8.572285,7.129315,8.602300
COMBO_011_R06,4.961387,2.496117,2.089451,3.903506,8.429935,0.000000,6.846847,1.899090,8.374456,5.069556,8.239321,8.365998,8.672838,4.254732,8.272041,8.515625,5.301650,6.521498,4.511869,8.365728,8.269798,4.722913,4.548854,6.634856,5.524007,8.723538,5.711970,4.668563,5.434087,6.438060,6.188410,5.108553,8.137504,6.331044,8.463368,7.769866,6.279768,5.654214,5.978573,6.078784,6.847134,6.220454,6.342724,5.592551,6.647772,6.543014,6.614755,5.276507,5.736517,5.388930,5.944504,7.059914,5.944103,6.208265,6.288265,5.968228,7.263831,6.776921,8.116411,6.598386,9.078852,8.973157,8.623832,8.835797,8.909561,9.212286,7.499012,8.848768,8.316617,8.410812,9.023210,8.880835,8.479892,8.648213,8.207072,9.267992,8.162393,8.117172,7.315185,8.555233,7.985778,8.922970,8.853335,8.584015,9.227181,8.410572,7.522165,9.157176,7.659867,8.941249,8.897549,9.079439,9.056675,9.135364,9.023724,8.293103,8.839733,8.739594,8.635720,7.563706,7.593136,9.348221,8.412036,8.575447,8.804402,11.052947,8.950519,8.154358,8.543356,8.461055,8.657766,9.400131,8.477004,8.956817,8.288206,8.542741,9.110576,8.550862,7.927943,7.679870,8.155644,7.927589,8.457799,4.332192,8.088335,6.093342,7.642628,7.342187,3.727193,8.406428,7.292822,4.266044,5.510694,3.802378,6.353890,4.446215,6.304792,7.625669,4.919854,7.653617,4.425634,6.170143,6.321438,4.389995,8.417176,7.239927,8.402338,4.572763,6.321291,4.292818
COMBO_011_R07,2.950416,6.022364,6.917649,8.016897,6.920812,6.846847,0.000000,6.839008,6.817284,3.146335,6.400009,6.702141,7.733452,8.286951,6.544787,6.854387,2.601717,0.761223,3.712080,6.840240,7.892526,3.502304,3.306981,1.414224,2.714403,6.737476,1.883857,3.200305,2.853254,1.347558,5.010888,4.984794,8.820943,4.880607,8.399899,9.890619,8.510891,4.893430,4.918448,6.650700,5.727016,4.853659,5.102788,4.874137,4.758992,5.909317,5.764175,4.997472,5.555435,5.090213,4.743506,6.013440,5.148298,4.959419,4.932122,5.667099,5.027219,4.639794,8.491406,7.057996,9.718145,9.732420,6.773330,9.753899,9.762976,7.084410,9.507478,9.508092,7.063693,7.253881,9.675141,9.539939,9.786769,9.967419,9.805880,9.801422,9.444221,9.765323,6.738248,7.477283,9.716572,9.849767,9.519618,7.478177,9.776221,9.402273,9.307142,9.754717,9.486823,9.752365,7.399821,4.931788,4.772671,7.656087,8.319573,8.094834,8.608307,8.246257,8.004143,9.241803,9.213639,7.548890,6.838584,8.297460,8.805727,10.844407,7.371297,7.956066,8.378078,8.194094,8.215683,8.645796,7.787293,8.132280,8.137064,7.897570,4.980770,8.445967,8.957241,9.727418,5.447190,4.780062,6.517270,7.985011,5.292466,8.296591,4.292000,9.082813,8.078583,4.499483,4.674575,8.156612,8.876885,8.085991,9.250996,8.170776,9.201257,5.041181,7.570377,4.680479,8.117365,8.292646,9.196075,8.237633,4.826719,4.648491,6.411326,8.221015,9.065388,8.191327
COMBO_011_R08,5.112413,2.656157,1.177843,4.052293,8.548505,1.899090,6.839008,0.000000,8.466007,5.483440,8.312678,8.465324,9.003012,4.365229,8.344902,8.653582,5.552365,6.538544,4.873132,8.519713,8.659425,4.803110,4.755744,6.805177,5.484207,8.253913,5.792446,4.907985,5.791662,6.494688,6.737841,5.736333,8.446203,7.055603,7.432043,8.044247,6.743427,6.148494,6.521571,7.032129,7.504037,6.691996,6.737741,6.040989,7.067337,7.508815,7.568698,5.704396,6.661496,5.903902,6.229101,7.919055,6.563089,6.975183,6.890733,6.666916,7.322775,6.947411,7.118421,7.410934,9.247782,9.100154,8.547011,9.098213,9.107664,9.176128,7.732403,8.986781,7.845699,7.923217,9.190770,9.067348,9.127553,9.320822,8.828292,9.399279,8.731600,8.766288,7.055768,8.117816,8.644066,9.165458,9.004906,8.135866,9.374277,8.512848,7.826715,9.352425,8.316659,9.158677,9.676350,9.123926,9.216077,9.934487,9.819320,8.977964,9.545341,9.345939,9.373198,7.721560,8.753431,10.098002,8.684115,9.288060,9.470554,11.477805,9.686488,8.859057,9.251362,9.165386,9.441750,10.182829,9.276970,9.791314,9.004337,9.259533,9.119927,9.278363,8.494880,7.771908,7.747476,7.702991,8.098201,5.307159,7.856634,6.573983,7.440483,7.878424,4.614977,8.230479,7.023934,5.181745,6.103714,4.716531,6.709044,5.091037,6.691139,7.327113,5.909761,7.376762,5.385916,6.640919,6.729147,5.279471,8.235114,6.986527,8.024812,5.407331,6.728814,5.045619
COMBO_011_R09,8.091361,8.504457,8.484649,8.293483,0.440155,8.374456,6.817284,8.466007,0.000000,8.079432,1.272120,1.005555,4.856006,8.406035,0.554376,0.684661,7.892020,6.842430,8.494744,1.016576,5.417632,8.459337,8.185637,7.069258,7.245044,4.066191,7.558137,8.162161,8.086945,6.787336,9.581297,8.020869,8.415574,8.749109,9.345144,9.365640,7.908020,9.477551,9.532291,10.140923,9.938110,9.548730,9.840645,9.503934,9.399337,9.568085,9.401971,9.569305,9.152261,9.540743,9.572245,9.632881,9.605618,8.779162,9.400915,9.940309,9.674217,9.267163,9.748582,10.708885,6.685903,7.112541,6.247585,6.305118,7.015992,6.451728,8.028537,6.497305,4.597484,4.485713,6.521269,6.478939,7.769777,8.033315,7.917574,6.488563,7.141233,7.890357,7.373523,4.196283,7.883021,7.722114,6.605042,4.074907,6.641833,6.835879,7.468984,6.434043,7.674548,6.979037,7.977413,5.861711,6.597884,8.104702,7.716104,7.493465,7.975798,8.047801,8.120809,8.412538,9.322260,8.193056,2.574626,8.081539,8.161738,9.368117,8.002624,7.724213,7.799456,7.963728,7.925525,8.512158,7.742998,8.170669,7.689077,7.873089,6.044573,7.667216,7.768282,8.118496,5.137009,4.360783,4.830037,8.600048,4.130965,7.531753,4.645707,9.561787,7.919260,4.766065,5.863055,8.526210,8.769023,7.986557,7.432451,8.756479,7.499902,6.028963,8.793642,4.673002,8.529256,7.467117,7.649169,8.445645,4.684084,6.046213,4.997934,8.544301,7.291922,8.571446
COMBO_011_R10,1.611295,4.478067,5.562817,6.651201,8.156268,5.069556,3.146335,5.483440,8.079432,0.000000,7.799339,8.011467,8.331659,7.003778,7.887435,8.140640,1.217160,2.737324,1.197723,8.064725,8.362111,2.093494,1.420888,2.627694,2.891826,8.589939,1.883460,1.119927,0.954071,2.959703,3.252849,3.874374,8.907251,3.916607,9.245842,9.254883,7.997123,2.761642,3.089013,4.850806,4.013571,3.280187,3.716266,2.828133,3.575726,4.340554,4.285372,2.876263,3.812179,2.837574,3.433613,4.764007,3.169057,3.667316,3.131365,3.562433,4.770290,4.129624,9.055609,5.351093,10.142081,10.078678,7.688996,10.052407,10.058602,8.080547,9.014960,9.971517,8.568652,8.761259,10.119643,9.961107,9.298142,9.431931,9.242785,10.314960,9.121032,9.186761,7.174804,8.951536,9.115669,9.948921,9.936512,8.976637,10.255224,9.504464,8.999623,10.195070,8.889862,10.039654,6.832061,6.624189,6.185026,7.090379,7.712989,7.293131,7.850988,7.604684,7.292851,8.982986,7.779033,7.068611,7.774944,7.519217,8.016770,10.744085,6.809032,7.037967,7.577677,7.472907,7.362653,7.961117,6.951518,7.282950,7.302295,7.234435,6.661134,7.662865,8.117570,9.455033,7.572663,6.864273,8.411656,6.537013,7.283013,7.800282,6.366988,8.418062,6.515848,6.893403,6.225893,6.737717,7.910792,6.533256,8.527862,6.735199,8.434791,6.635226,6.328026,6.628150,6.705740,7.818086,8.383442,6.871411,7.129673,6.186052,8.324577,6.836747,8.336142,6.843306
